scheme,experiment_name,fullrun_timestamp,seed,split_seed,shuffle_seed,weight_seed,hidden_size,depth,num_parameters,input_size,output_size,num_pressure_conditions,num_species_total,num_species_kept,kept_species,removed_species,activation,learning_rate,batch_size,epochs_ran,best_epoch,final_train_loss,final_val_loss,best_val_loss,test_mse,test_rmse,test_mse_unscaled,test_rmse_unscaled,training_time_s,mean_rel_error_k1,max_rel_error_k1,mean_rel_error_k2,max_rel_error_k2,mean_rel_error_k3,max_rel_error_k3
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,32,32,32,32,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,4923,4823,3.8840093586461284e-06,5.016621562390356e-06,3.0120280462142545e-06,3.0564833650714718e-06,0.0017482801163061575,1.401298464324817e-45,3.743392130574644e-23,323.01735854148865,0.004092652350664139,0.018099887296557426,0.0014701536856591702,0.006117796991020441,0.0011099836556240916,0.0036131206434220076
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,32,32,32,32,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2897,2797,3.3023337224828235e-06,4.98412415254279e-06,2.689704779186286e-06,2.724275191212655e-06,0.00165053784907001,1.401298464324817e-45,3.743392130574644e-23,240.2095456123352,0.00385938654653728,0.019403520971536636,0.0008638822473585606,0.004489617887884378,0.0012869484489783645,0.004586740396916866
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,32,32,32,32,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2030,1930,1.7236505979983325e-06,1.9916069686587434e-06,9.692722278487053e-07,9.768292557055247e-07,0.0009883467284842525,1.401298464324817e-45,3.743392130574644e-23,172.8220489025116,0.00194629339966923,0.010038289241492748,0.0011301148915663362,0.0054142409935593605,0.0008720579207874835,0.0032572185155004263
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,33,33,33,33,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2625,2525,1.07411708025514e-05,6.571937337866984e-06,6.49109308142215e-06,7.824842214176897e-06,0.0027972919429649985,1.401298464324817e-45,3.743392130574644e-23,186.19287848472595,0.007229049224406481,0.041583068668842316,0.0019489527912810445,0.006702721118927002,0.001216971781104803,0.00424779811874032
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,33,33,33,33,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2980,2880,4.452169555912001e-06,2.514420584702748e-06,2.461414110257465e-06,3.0614864954259247e-06,0.0017497104033027651,1.401298464324817e-45,3.743392130574644e-23,301.9598214626312,0.004017790779471397,0.020387623459100723,0.0013405421050265431,0.0045660086907446384,0.0010747581254690886,0.004637217149138451
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,33,33,33,33,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2269,2169,3.2512695836178157e-06,2.0715915661639884e-06,1.1077232556999662e-06,1.2586349384946516e-06,0.0011218890045341613,2.802596928649634e-45,5.293955920339377e-23,211.20881915092468,0.001992121571674943,0.011316793970763683,0.0010269610211253166,0.0043954066932201385,0.0015048166969791055,0.007158161140978336
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,34,34,34,34,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3733,3633,6.4598935174823665e-06,4.970285663148388e-06,3.451334578130627e-06,3.5134128211211646e-06,0.0018744099928033793,1.401298464324817e-45,3.743392130574644e-23,354.3889629840851,0.004727623425424099,0.02346843294799328,0.0013922041980549693,0.006334606092423201,0.001077241264283657,0.0051031773909926414
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,34,34,34,34,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,5000,4930,1.9902754881210663e-06,1.1640743832685985e-06,7.731698542556842e-07,8.506102062710852e-07,0.0009222853171720154,0.0,0.0,496.3968698978424,0.00193892908282578,0.009781716391444206,0.0007597610238008201,0.006114485207945108,0.0007311381632462144,0.0024184812791645527
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,34,34,34,34,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2593,2493,2.5521235329506453e-06,1.1613116912485566e-05,8.879451183929632e-07,8.935600703807722e-07,0.0009452830636273836,0.0,0.0,195.40136122703552,0.001784843043424189,0.007424252573400736,0.0011314820731058717,0.006353601347655058,0.0005812462186440825,0.002050156705081463
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,35,35,35,35,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2284,2184,6.590646620073434e-06,5.9958717247354795e-06,4.641421255655586e-06,5.257413704384817e-06,0.002292905079671816,1.401298464324817e-45,3.743392130574644e-23,174.7301619052887,0.0057880813255906105,0.03132528066635132,0.001709220465272665,0.007344138342887163,0.0011667544022202492,0.004332752898335457
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,35,35,35,35,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3024,2924,3.9469692981381535e-06,1.2111799369449727e-05,1.8501080649002689e-06,2.2928172711544903e-06,0.0015142051615136206,1.401298464324817e-45,3.743392130574644e-23,258.6737196445465,0.0036780638620257378,0.01813807524740696,0.0008788796258158982,0.004465751349925995,0.0011204478796571493,0.003318534465506673
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,35,35,35,35,"30, 30, 30",3,2163,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2825,2725,3.4724061040631367e-06,4.683968718381948e-06,1.2152956469435595e-06,1.305006094298733e-06,0.0011423686332785634,1.401298464324817e-45,3.743392130574644e-23,206.161554813385,0.0022712384816259146,0.01282732654362917,0.0008621125598438084,0.0075790779665112495,0.001232390059158206,0.0041081043891608715
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,36,36,36,36,"30, 30",2,1233,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,2892,2792,7.342039009219863e-06,5.957174944342114e-06,5.312604007485788e-06,5.751101980422391e-06,0.0023981455294502857,1.401298464324817e-45,3.743392130574644e-23,179.52125072479248,0.005652778781950474,0.02892214246094227,0.0022775065153837204,0.009407597593963146,0.0012252851156517863,0.0043605719693005085
O2_novib,3__O2(a)_O2(b)_O(3P),2026-04-23_14-32-46,36,36,36,36,"50, 50",2,3053,6,3,2,11,3,"O2(a), O2(b), O(3P)","O2(X), O2(Hz), O2+(X), O(1D), O+(gnd), O-(gnd), O3(X), O3(exc)",tanh,0.0001,16,3236,3136,3.901611949509566e-06,5.23637962032808e-06,3.0174754192557885e-06,3.181501824656152e-06,0.0017836764910308573,1.401298464324817e-45,3.743392130574644e-23,253.74897003173828,0.004402925260365009,0.02063809521496296,0.0016308777267113328,0.006719408091157675,0.0009017882402986288,0.0027608342934399843
